Date,Time,ns1:sex,ns1:lat,lat,Latitudes,ns1:lon,lon,Longitudes
22-11-1902,01:00:00,M,405500N,405500,40.55,0150000E,150000,1.5
22-11-1902,19:51:00,M,495100N,495100,49.51,0015400E,15400,0.154
23-11-1902,12:45:00,M,232300S,232300,-23.23,1503100E,1503100,15.031
02-12-1902,07:00:00,M,423000N,423000,42.3,0710400W,710400,-7.104
27-12-1902,06:44:00,M,533259N,533259,53.32,0095900E,95900,0.959
05-01-1903,12:00:00,F,434600N,434600,43.46,0111500E,111500,1.115
05-01-1903,12:00:00,M,434600N,434600,43.46,0111500E,111500,1.115
15-01-1903,15:15:00,M,555300N,555300,55.53,0041500W,41500,-0.415
16-01-1903,13:00:00,M,452800N,452800,45.28,0004300W,4300,-0.043
19-01-1903,11:15:00,F,390000N,390000,39,0950000W,950000,-9.5
19-01-1903,21:30:00,F,473000N,473000,47.3,0190500E,190500,1.905
19-01-1903,21:30:00,M,473000N,473000,47.3,0190500E,190500,1.905
24-01-1903,15:30:00,M,522900N,522900,52.29,0132100E,132100,1.321
27-01-1903,12:00:00,M,374859N,374859,37.48,1445759E,1445759,14.457
06-02-1903,03:45:00,M,461200N,461200,46.12,0060900E,60900,0.609
06-02-1903,23:54:12,F,363600S,363600,-36.36,0720700W,720700,-7.207
06-02-1903,23:54:12,M,363600S,363600,-36.36,0720700W,720700,-7.207
13-02-1903,00:10:00,M,503800N,503800,50.38,0053400E,53400,0.534
13-02-1903,00:10:00,F,503800N,503800,50.38,0053400E,53400,0.534
16-02-1903,05:30:00,M,415100N,415100,41.51,0873900W,873900,-8.739
21-02-1903,20:25:00,M,485200N,485200,48.52,0022000E,22000,0.22
21-02-1903,20:25:00,F,485200N,485200,48.52,0022000E,22000,0.22
24-02-1903,11:00:00,F,491500N,491500,49.15,0082800E,82800,0.828
26-02-1903,14:37:00,M,292300N,292300,29.23,0792700E,792700,7.927
26-02-1903,12:00:00,M,442500N,442500,44.25,0085659E,85659,0.856
03-03-1903,05:45:00,M,483259N,483259,48.32,0325400E,325400,3.254
03-03-1903,05:45:00,M,483300N,483300,48.33,0325400E,325400,3.254
10-03-1903,22:00:00,F,404200N,404200,40.42,0740000W,740000,-7.4
10-03-1903,22:00:00,M,404200N,404200,40.42,0740000W,740000,-7.4
10-03-1903,02:00:00,M,413100N,413100,41.31,0903500W,903500,-9.035
19-03-1903,11:00:00,M,461800N,461800,46.18,0045000E,45000,0.45
24-03-1903,22:00:00,F,533300N,533300,53.33,0083400E,83400,0.834
24-03-1903,12:00:00,M,533259N,533259,53.32,0083359E,83359,0.833
24-03-1903,22:00:00,M,533300N,533300,53.33,0083400E,83400,0.834
26-03-1903,09:00:00,M,492300N,492300,49.23,0083400E,83400,0.834
04-04-1903,23:00:00,M,433600N,433600,43.36,0835300W,835300,-8.353
28-04-1903,09:30:00,M,485000N,485000,48.5,0100500E,100500,1.005
02-05-1903,02:00:00,F,411800N,411800,41.18,0725500W,725500,-7.255
03-05-1903,16:00:00,M,471500N,471500,47.15,1222700W,1222700,-2.227
03-05-1903,16:00:00,F,471500N,471500,47.15,1222700W,1222700,-2.227
29-05-1903,15:36:00,M,512700N,512700,51.27,0000400E,400,0.004
29-05-1903,15:36:00,F,512700N,512700,51.27,0000400E,400,0.004
30-05-1903,00:14:00,F,333300N,333300,33.33,0745000E,745000,7.45
03-06-1903,17:30:00,M,432000N,432000,43.2,0950900W,950900,-9.509
08-06-1903,08:00:00,F,505000N,505000,50.5,0042000E,42000,0.42
08-06-1903,08:00:00,M,505000N,505000,50.5,0042000E,42000,0.42
18-06-1903,17:00:00,F,484800N,484800,48.48,0023000E,23000,0.23
18-06-1903,17:00:00,M,484800N,484800,48.48,0023000E,23000,0.23
20-06-1903,12:00:00,F,450300N,450300,45.03,0074000E,74000,0.74
22-06-1903,07:05:00,M,394600N,394600,39.46,0860900W,860900,-8.609
25-06-1903,11:30:00,M,263900N,263900,26.39,0845500E,845500,8.455
06-07-1903,12:00:00,M,582500N,582500,58.25,0153700E,153700,1.537
23-07-1903,09:00:00,M,555300N,555300,55.53,0041500W,41500,-0.415
23-07-1903,09:51:00,F,433600N,433600,43.36,0035300E,35300,0.353
23-07-1903,09:51:00,M,433600N,433600,43.36,0035300E,35300,0.353
31-07-1903,04:00:00,M,463600N,463600,46.36,1120200W,1120200,-1.202
02-08-1903,01:20:00,M,320100N,320100,32.01,0970800W,970800,-9.708
02-08-1903,01:20:00,F,320100N,320100,32.01,0970800W,970800,-9.708
14-08-1903,03:30:00,M,432800N,432800,43.28,0894400W,894400,-8.944
14-08-1903,03:30:00,F,432800N,432800,43.28,0894400W,894400,-8.944
